neighborhood,year,cdfi,cdfi_pp
Auburndale,2015,524.080738856452,0.03540846826947179
Auburndale,2016,1038.4739015102764,0.0730496554241894
Avondale Melbourne Heights,2016,519.2369507551382,0.1262735775182729
Bashford Manor,2016,7269.317310571935,1.3947270357966108
Buechel,2014,34568.9840981523,1.7961646107322198
Buechel,2016,3255.6156812347167,0.15299664839676286
California,2015,524.080738856452,0.08684022184862501
Central Business District,2014,5370.650769943104,1.4746432646741088
Central Business District,2015,5240.807388564519,1.330154159534142
Chamberlain-Ford,2015,105602.26887957506,4.632897643220806
Chamberlain-Ford,2016,15608.262739699454,0.6764730524725633
Cherokee Triangle,2014,2385363.546910174,549.8763363093993
Chickasaw,2014,3664.1866851463674,0.5846795412711612
Chickasaw,2015,1048.161477712904,0.17132420361440076
Clifton Heights-Brownsboro,2014,8375.283851763126,1.3543473240237915
Clifton Heights-Brownsboro,2016,1069.6281185555847,0.16975529575552845
Commerce Crossings,2014,8375.283851763126,1.1187929270322103
Commerce Crossings,2015,1048.161477712904,0.14372157928327217
Crescent Hill,2016,1038.4739015102764,0.0971807880881786
Fern Creek,2014,523.4552407351954,0.015790028678929608
Fern Creek,2016,519.2369507551382,0.015591296602562478
Glenview-Harrods Creek-Prospect,2014,5370.650769943104,0.6345286826492326
Highlands,2016,550.3911678004465,0.3045883607086035
Highview,2016,37385.06045436995,2.0447990184526583
Hikes Point,2016,2180.7951931715806,0.5813903474197762
Irish Hill-Clifton,2015,52408.07388564519,9.328599837245495
Irish Hill-Clifton,2016,20769.47803020553,3.668222894773142
J-Town,2015,319165.1699635792,8.86003858544761
J-Town,2016,88435.39897871364,2.416597867979605
Kenwood Hill,2015,1048.161477712904,0.1486964786087252
Klondike,2016,8307.791212082211,1.2771393100818158
Lyndon,2014,151802.01981320666,6.391933126161382
Lyndon,2015,56076.63905764035,2.3767330277884358
Middletown-Anchorage-Tom Sawyer,2016,289734.2185213671,11.84522561411967
Newburg,2014,4711.097166616759,0.18299076195831263
Newburg,2015,59433.900270754784,2.266566252412279
Newburg,2016,20296.97240501835,0.7648843987420241
Oakdale,2016,86764.4944711836,16.39230955435171
Okolona,2014,2721.967251823016,0.15245699853383085
Old Louisville-Limerick,2016,14075.475261070287,1.7698321716421836
Oxmoor,2015,262040.36942822594,24.941973103771744
Park DuValle,2016,42328.196225558866,7.785211739113273
Park Hill-Algonquin,2014,629716.65460444,64.76567464819911
Park Hill-Algonquin,2015,1048.161477712904,0.10663968640888227
Parkland,2017,70208.2229450579,25.72672148957783
Phoenix Hill-Nulu-Butchertown,2014,7851.8286110279305,1.613278942064502
Phoenix Hill-Nulu-Butchertown,2015,1311250.0086188426,264.5249160013804
Phoenix Hill-Nulu-Butchertown,2016,1038.4739015102764,0.20402237750693053
Pleasure Ridge Park,2016,4153.895606041106,0.13358295620147626
Poplar Level-Audubon,2014,6804.918129557539,1.3910298711278697
Poplar Level-Audubon,2015,13102.018471411298,2.629871230712826
Poplar Level-Audubon,2016,1038.4739015102764,0.21358986045048878
Portland,2014,3664.1866851463674,0.3466918994366891
Portland,2016,129757.31399370903,12.816803041654389
Rubbertown,2016,3634.6586552859676,0.6988384263191632
Russell,2016,5192.369507551382,0.5040156773006583
Russell,2017,197387.15331128865,19.16008088830214
Schnitzelburg,2015,7861.2110828467785,1.8602013920602882
Seneca Gardens-Strathmoor-Kingsley,2014,2093.8209629407816,1.0375723304959275
Shawnee,2014,575800.7648087149,47.4261399232942
Shawnee,2016,519.2369507551382,0.04511181153389559
Shelby Park,2015,60269.28496849197,18.18077977933393
Shelby Park,2016,103847.39015102763,34.35242810156389
Shively,2014,68604.04385075471,2.901541357247281
Shively,2015,274272.4138731355,11.513891686878617
Shively,2016,91048.19931491348,3.8428311870558174
Smoketown,2016,3842.353435588023,1.800540504024378
Southwest Dixie,2014,26172.762036759766,2.876127696347227
St Andews,2016,1557.7108522654146,0.15371135309506756
St. Matthews,2014,21775.738014584127,1.0406565359418938
Taylor Berry,2014,1046.9104814703908,0.10990032347999064
Taylor Berry,2015,3144.4844331387117,0.3480336948687008
Taylor Berry,2016,1038.4739015102764,0.12134539629706431
Westport-Brownsboro-Summit,2016,1557.7108522654146,0.08378843807570409
Wilder Park,2015,5764.888127420971,2.2536701045429908
Wolf Creek-Wolf Pen Branch-Norton Commons,2016,155771.08522654147,16.244768508347217
