neighborhood,year,cdfi,cdfi_pp
Algonquin-Park Hill-Park Duvalle,2014,629716.65460444,40.66098370274682
Algonquin-Park Hill-Park Duvalle,2015,1048.161477712904,0.06827523955920427
Algonquin-Park Hill-Park Duvalle,2016,42328.196225558866,2.6752746950801964
Buechel-Newburg-Indian Trail,2014,4711.097166616759,0.139311505060081
Buechel-Newburg-Indian Trail,2015,59433.900270754784,1.72762921547453
Buechel-Newburg-Indian Trail,2016,21366.600523573936,0.6148485086349726
Butchertown-Clifton-Crescent Hill,2014,8375.283851763126,0.37361305490311486
Butchertown-Clifton-Crescent Hill,2015,52408.07388564519,2.303550344408826
Butchertown-Clifton-Crescent Hill,2016,22877.58005027139,1.010092280024345
California-Parkland,2015,524.080738856452,0.057724500369694016
California-Parkland,2017,70208.2229450579,7.899215002819296
Chickasaw-Shawnee,2014,579464.9514938613,31.47897389688512
Chickasaw-Shawnee,2015,1048.161477712904,0.05835763474822693
Chickasaw-Shawnee,2016,519.2369507551382,0.0291919351636104
Downtown-Old Louisville-University,2014,5370.650769943104,0.32492290942846536
Downtown-Old Louisville-University,2015,5240.807388564519,0.3066413544300813
Downtown-Old Louisville-University,2016,14075.475261070287,0.8042209610941771
Fern Creek,2014,523.4552407351954,0.018644888361004287
Fern Creek,2016,519.2369507551382,0.018767374516757807
Floyd's Fork,2016,88435.39897871364,1.774386014821702
Germantown,2015,7861.2110828467785,0.615262665950284
Highlands,2014,2385363.546910174,111.51248407789137
Highlands,2016,550.3911678004465,0.02597655124600937
Highview-Okolona,2014,14258.920757626722,0.22647946691698917
Highview-Okolona,2015,1048.161477712904,0.016474827539418816
Highview-Okolona,2016,38485.84278997084,0.5970963120001682
J-Town,2015,581205.5393918052,10.735828350145098
J-Town,2016,31673.45399606343,0.5768038679353042
Northeast Jefferson,2014,157172.67058314974,1.3373324477196706
Northeast Jefferson,2015,161678.9079372154,1.3643904837780523
Northeast Jefferson,2016,431517.06029456516,3.616165761288571
Phoenix Hill-Smoketown-Shelby Park,2014,7851.8286110279305,0.7875454975955798
Phoenix Hill-Smoketown-Shelby Park,2015,1371519.2935873345,132.65492732250067
Phoenix Hill-Smoketown-Shelby Park,2016,108728.21748812593,10.6107365558823
Pleasure Ridge Park,2016,4153.895606041106,0.09988687553602428
Portland,2014,3664.1866851463674,0.3466918994366891
Portland,2016,129757.31399370903,12.816803041654389
Russell,2016,5192.369507551382,0.5040156773006583
Russell,2017,197387.15331128865,19.16008088830214
Shively,2015,271023.1132922255,8.706730702011871
Shively,2016,94682.85797019945,3.054679893218462
South Central Louisville,2014,69650.9543322251,2.663312723012584
South Central Louisville,2015,12158.673141469684,0.4829086163106555
South Central Louisville,2016,87802.96837269388,3.5391579012734846
South Louisville,2015,1572.2422165693558,0.029557314243779366
South Louisville,2016,2596.184753775691,0.0497458229468986
Southeast Louisville,2014,40306.053536610045,0.720368414652024
Southeast Louisville,2015,13102.018471411298,0.23494635569004946
Southeast Louisville,2016,19881.582844414243,0.3548508396589963
St. Matthews,2014,21775.738014584127,1.0406565359418938
Valley Station,2014,26172.762036759766,0.9420084234365018
