neighborhood,year,amount_business_1m,all_sb_loans,amount_business_1m_pp,all_sb_loans_pp
Airport,2012,NA,NA,NA,NA
Airport,2013,NA,NA,NA,NA
Airport,2014,NA,NA,NA,NA
Airport,2015,NA,NA,NA,NA
Airport,2016,NA,NA,NA,NA
Airport,2017,NA,NA,NA,NA
Airport,2018,NA,NA,NA,NA
Auburndale,2012,507478.0073595083,997310.1654997817,33.01743704355942,64.88680322054533
Auburndale,2013,730868.3730361772,1526876.3628618307,47.9069463185748,100.08366300877233
Auburndale,2014,505025.41865897825,1506449.4005680883,34.32044978994076,102.37508668488537
Auburndale,2015,573682.904082551,2742662.0535230916,38.75973948263975,185.3024831783725
Auburndale,2016,1061784.7040030342,3061845.9914978975,74.68941361867151,215.38027514757297
Auburndale,2017,377646.15183376963,1126092.5025480054,26.564867180203265,79.21303478812644
Auburndale,2018,1164248.8041643219,2415079.3472144064,81.89707401268443,169.88459110962341
Audubon Park-Camp Taylor-Prestonia,2012,1850174.785266738,3488563.1482803975,271.96454288795206,512.7977580891368
Audubon Park-Camp Taylor-Prestonia,2013,2480960.030540846,5389928.148542291,363.61718167094324,789.964553501728
Audubon Park-Camp Taylor-Prestonia,2014,3692453.268146068,5496280.027719551,532.821539415017,793.1140011139323
Audubon Park-Camp Taylor-Prestonia,2015,3557460.055357595,5299504.431316442,542.7921964231912,808.5908500635401
Audubon Park-Camp Taylor-Prestonia,2016,2136140.8154066387,5416679.870277601,354.9585934540776,900.0797391621139
Audubon Park-Camp Taylor-Prestonia,2017,1968483.4601891958,7383088.561155436,327.09927886161444,1226.8342574203116
Audubon Park-Camp Taylor-Prestonia,2018,3807000,9446000,632.6021934197407,1569.624459953473
Avondale Melbourne Heights,2012,1026680.3718359877,1642688.5949375802,244.79741817739333,391.6758690838293
Avondale Melbourne Heights,2013,314368.2230479839,780610.283581987,71.09186409949885,176.52878416598531
Avondale Melbourne Heights,2014,256493.0679602457,618724.0945490008,60.49364810383153,145.92549399740585
Avondale Melbourne Heights,2015,159320.54461236138,451757.59689426154,38.01492355341479,107.79231612843272
Avondale Melbourne Heights,2016,426812.7735207236,686431.2488982927,103.79688072002034,166.93366947915678
Avondale Melbourne Heights,2017,313283.7855251857,826579.3689752456,76.18769103238952,201.01638350565312
Avondale Melbourne Heights,2018,923000,1716000,224.46498054474708,417.31517509727627
Bashford Manor,2012,648259.9625309954,2676894.3726404286,119.36290969084799,492.8916171313623
Bashford Manor,2013,231527.94805560974,3894554.9794491786,45.16737184073541,759.7649199081503
Bashford Manor,2014,1338998.5058006297,3908116.8273289683,243.85330646523943,711.7313471733688
Bashford Manor,2015,603741.0111626326,1213770.9911915427,119.57635396368244,240.39829494781992
Bashford Manor,2016,1437247.8796902224,2836072.2250245647,275.75745964892985,544.1427906800776
Bashford Manor,2017,1115371.9139382017,2166454.321400551,214.0007509474677,415.6666004222086
Bashford Manor,2018,666000,2120000,127.78204144282425,406.75364543361474
Beckley Station-Old Henry,2012,2998128.4139709207,4776397.052630312,371.65345406854107,592.090870538033
Beckley Station-Old Henry,2013,1279415.0909008891,4704130.043946303,154.68686868587704,568.749854182844
Beckley Station-Old Henry,2014,1465791.5885781064,3136445.573527125,181.67967136565522,388.7513105512054
Beckley Station-Old Henry,2015,2040314.9836706948,5071366.97601807,251.4871174252058,625.0914551975928
Beckley Station-Old Henry,2016,2061884.755055668,5462763.06031885,253.77043139146684,672.34006896232
Beckley Station-Old Henry,2017,2886708.5489638825,8027977.58968404,355.287206026324,988.058780268805
Beckley Station-Old Henry,2018,2954753.476923077,6426251.076923077,363.66196639053254,790.9232094674556
Beechmont,2012,383605.8809456069,594060.77015266,47.66474663837064,73.81470802095676
Beechmont,2013,467694.048507671,691110.4992365997,61.064636180659484,90.23508280932232
Beechmont,2014,423958.8250617405,618088.2367643806,55.174235432293145,80.43834419109587
Beechmont,2015,646056.5281719903,884714.4643909314,82.23733810743258,112.61640330841794
Beechmont,2016,321977.7685139041,475961.4634377156,42.05011995741206,62.16030605168024
Beechmont,2017,437855.69098274276,817727.6689204909,57.18371307075131,106.79478502291902
Beechmont,2018,605445.0829306517,752264.5944887032,79.07079573340104,98.24534340978231
Belknap,2012,3627245.6278268294,3794954.6728597237,842.174513077973,881.1132279683593
Belknap,2013,1143833.0277793198,1346685.4960298769,258.727217321719,304.6110599479477
Belknap,2014,796698.8763989673,1175680.4706912488,175.0217215287714,258.2777835437717
Belknap,2015,1733659.0841371429,2093178.4709926692,371.1537324207114,448.12213037736444
Belknap,2016,1677135.3509390964,2233757.3621486044,354.8741749765333,472.65284852911645
Belknap,2017,1186804.6989113712,1807249.459821185,251.12245004472518,382.4057257344869
Belknap,2018,1629000,2146000,344.6889547185781,454.08379179009734
Bon Air,2012,1094409.0246377334,1290069.5771761101,242.87816791782808,286.30039440215495
Bon Air,2013,657411.9259010204,1693977.4181132915,137.27540737127174,353.7225763443916
Bon Air,2014,1834187.1635361244,2580634.336824513,393.85595094183475,554.1409355431637
Bon Air,2015,560766.3905764036,1232637.897790375,122.30455628711093,268.8414171843784
Bon Air,2016,979280.8891241907,2299181.217943752,211.73640845928446,497.12026333918965
Bon Air,2017,991895.2427702948,1208234.534403322,214.46383627465832,261.239899330448
Bon Air,2018,1675000,4637000,362.1621621621622,1002.5945945945946
Bonnycastle,2012,1500780.9414482082,2389853.891718744,710.2607389721761,1131.0240850538305
Bonnycastle,2013,1829920.4334853927,3577000.591978411,842.1170885804845,1646.1116391985324
Bonnycastle,2014,463781.34329138306,592551.3325122411,216.61903002867027,276.7638171472401
Bonnycastle,2015,296629.6981927518,571248.0053535326,142.40503993891107,274.2429214371256
Bonnycastle,2016,710316.1486330291,2215064.8319214196,344.31223879448817,1073.7105341354434
Bonnycastle,2017,1652138.2695937317,2469533.4233581414,800.8425931137817,1197.05934239367
Bonnycastle,2018,545000,1383000,264.17838099854583,670.3829374697043
Buechel,2012,1500596.393125031,3372035.1945796967,81.20989247348365,182.48918684812733
Buechel,2013,1643333.7667634431,3313253.1960315797,86.55958739865383,174.51952573250355
Buechel,2014,2519491.305104303,3910629.934688624,130.90986725056132,203.19182867549745
Buechel,2015,1699550.3995204142,2818023.5396749554,82.27877611930742,136.4263913475482
Buechel,2016,1523413.5423514156,3255475.4709090884,71.59234655535577,152.99005925603123
Buechel,2017,1977135.549036641,3370830.6998863174,92.91487142425119,158.4111424355617
Buechel,2018,1542232.0127825555,4021045.255886085,72.4767147320154,188.96777366822147
California,2012,1585512.263212398,4462095.805850588,243.66255773972614,685.7377909713521
California,2013,885308.4052415316,4533386.400584312,135.72104940081735,694.9848843452878
California,2014,207259.4430386752,3705846.8622117173,32.8045968722183,586.553792689414
California,2015,518751.18076115806,3540871.8361800713,85.95711363068071,586.7227566164162
California,2016,954467.9555602755,3921044.6005915217,154.9712543530241,636.6365644733759
California,2017,474853.79982849583,5242649.969576822,77.09917191565121,851.217725211369
California,2018,457941.0618606917,4206698.977106673,74.35315178774017,683.0165574130009
Central Business District,2012,15209920.314906338,40420029.96888949,3966.0809165335954,10539.773133999866
Central Business District,2013,11975730.010436036,41313932.01542761,3306.38597748096,11406.386531040202
Central Business District,2014,7192275.007701583,32631152.79695061,1974.8146643881337,8959.679515911754
Central Business District,2015,7708179.507100695,41037618.17541561,1956.390737842816,10415.639130816146
Central Business District,2016,12298646.415586203,53289288.25599983,3008.4751505837094,13035.540180039097
Central Business District,2017,13685501.132502493,56681914.8762099,3347.7253259546214,13865.439059738233
Central Business District,2018,11557000,50671000,2827.054794520548,12395.058708414872
Chamberlain-Ford,2012,994017.7574384754,1853685.6933743358,44.41743408724587,82.83148010967138
Chamberlain-Ford,2013,857148.7059558681,2199455.663723842,38.48375638467508,98.74986143419574
Chamberlain-Ford,2014,821948.2894666207,2945793.647740531,35.91646447308808,128.72159264760896
Chamberlain-Ford,2015,955886.3884294054,2496747.0807671724,41.93587735497962,109.53527598346813
Chamberlain-Ford,2016,1271186.4826251643,4499239.645155249,55.094113579732344,195.00020132428594
Chamberlain-Ford,2017,1024080.8403946235,4554015.869714852,44.38438176199989,197.3742413086661
Chamberlain-Ford,2018,1156306.3754171543,4582036.406189052,50.11512917336949,198.58867100893045
Cherokee Seneca-Cherokee Gardens-Rockcreek Lexington,2012,3926111.746539295,6077302.766480459,923.7909991857165,1429.9535921130491
Cherokee Seneca-Cherokee Gardens-Rockcreek Lexington,2013,1791686.4604119894,3654530.592932813,414.26276541317674,844.978171776373
Cherokee Seneca-Cherokee Gardens-Rockcreek Lexington,2014,1653071.6502417468,4921526.173392307,367.59431848826927,1094.4020843656454
Cherokee Seneca-Cherokee Gardens-Rockcreek Lexington,2015,1859438.4614626914,4669559.383210987,410.29092265284453,1030.352908916811
Cherokee Seneca-Cherokee Gardens-Rockcreek Lexington,2016,3948277.7735420708,5409410.55296703,867.9441137705146,1189.142790276331
Cherokee Seneca-Cherokee Gardens-Rockcreek Lexington,2017,4441078.288617616,9087270.716943905,976.2757284277018,1997.6413974376576
Cherokee Seneca-Cherokee Gardens-Rockcreek Lexington,2018,4186000,6146000,920.2022422510441,1351.066168388657
Cherokee Triangle,2012,804143.3697731086,3282152.01593222,195.37010927432183,797.4130262225996
Cherokee Triangle,2013,576695.7605238353,3874375.9381048824,135.9169833900154,913.1218331616503
Cherokee Triangle,2014,2302156.1487533893,3039181.127708544,530.695285558642,700.5950040821908
Cherokee Triangle,2015,4301654.704533758,7381153.126054268,1009.7780996558116,1732.6650530643822
Cherokee Triangle,2016,3875584.6004363517,6735541.725195653,919.6925962117589,1598.3725024194714
Cherokee Triangle,2017,3347136.210171365,7824951.359632325,794.2895610278513,1856.8940103541352
Cherokee Triangle,2018,4860000,7190000,1153.298528713811,1706.2173706691979
Chickasaw,2012,3851.464481653145,646175.8619016248,0.6127051354841146,102.79603275558779
Chickasaw,2013,25881.49501117274,252383.60885424432,4.1088260059013715,40.0672501753047
Chickasaw,2014,234789.42928566522,908212.9677413434,37.464405502738984,144.91989273038828
Chickasaw,2015,34977.54940991606,107076.59931377877,5.71715420233999,17.501895932294666
Chickasaw,2016,148033.73499142396,175286.18869545165,23.583516806025802,27.92515352803117
Chickasaw,2017,79835.5135835684,116758.1949354002,12.718737228543636,18.600955063788465
Chickasaw,2018,94024.53401306356,129247.0925601402,14.979215232286691,20.590583488950166
Clifton Heights-Brownsboro,2012,611231.8463996233,1240654.1445375425,99.85816801170124,202.68814646912963
Clifton Heights-Brownsboro,2013,144640.78279319662,652640.0732065389,24.26451648938041,109.48499802156331
Clifton Heights-Brownsboro,2014,227531.87407673648,498352.7516712454,36.79364069804924,80.58744367258173
Clifton Heights-Brownsboro,2015,526214.5083638547,662992.2286860507,85.84249728611007,108.15533910049767
Clifton Heights-Brownsboro,2016,610026.5328212972,1271362.345434053,96.81424104448456,201.77151966894988
Clifton Heights-Brownsboro,2017,1493518.8448726858,2068511.384813674,237.02885968460336,328.28303202883257
Clifton Heights-Brownsboro,2018,647029.8365338835,818474.2104427868,102.6868491563059,129.89592293965828
Cloverleaf,2012,130082.0156985911,144057.7694513323,35.40610117000302,39.210062452730625
Cloverleaf,2013,113639.8644126158,123198.35768096666,30.581233695537083,33.15348699703085
Cloverleaf,2014,212522.82773848932,244977.0526640714,58.61081846069755,67.56123901380899
Cloverleaf,2015,156176.06017922267,220113.9103197098,42.46222408352982,59.84608763450511
Cloverleaf,2016,101770.44234800708,108001.28575706875,28.830153639662065,30.595265086988313
Cloverleaf,2017,148988.38008689613,177561.4940761639,42.206339967959245,50.300706537156906
Cloverleaf,2018,226000,292000,64.02266288951841,82.71954674220963
Commerce Crossings,2012,1086613.545782467,2336843.1699905912,151.1494708279965,325.0581680331884
Commerce Crossings,2013,183462.9967617928,1675861.5637197078,26.179080588155365,239.13549710612267
Commerce Crossings,2014,225951.41954342515,1535207.5146244827,30.18319790855265,205.07714595571503
Commerce Crossings,2015,158350.85511693716,1277544.998731647,21.712718376105467,175.17413941199052
Commerce Crossings,2016,216551.4872236456,1498450.5680261555,29.470806644480895,203.92631573573155
Commerce Crossings,2017,761594.644127872,2795838.596208652,103.64652206421773,380.48973818843933
Commerce Crossings,2018,412332.87969515513,2055814.6434403919,56.114980905709736,279.7788028634175
Cooper Chapel-Cedar Creek,2012,317148.64320332266,728894.8402488588,14.183749696034107,32.598159224009784
Cooper Chapel-Cedar Creek,2013,807165.1665819959,1146868.0501240294,34.672043238058244,49.26409150017309
Cooper Chapel-Cedar Creek,2014,607347.6179433576,872031.4719862753,25.273505802644816,36.287772959355635
Cooper Chapel-Cedar Creek,2015,553220.0808171406,920752.2441100231,22.55003794143157,37.531172058452825
Cooper Chapel-Cedar Creek,2016,386754.67345287726,834876.97850315,15.112327033951129,32.62257652794428
Cooper Chapel-Cedar Creek,2017,861415.7311150936,1091725.4546594324,33.65957061249975,42.65885646527948
Cooper Chapel-Cedar Creek,2018,413358.04157549236,704613.6683338543,16.151845950902327,27.53257534908777
Crescent Hill,2012,1379686.5408794633,2037184.9518182785,130.75118848364892,193.06150036185355
Crescent Hill,2013,1884792.8256048923,3182003.2455844693,180.03561234166514,303.94529043695377
Crescent Hill,2014,1054639.5712048095,2827388.983651528,98.1699312300856,263.18430453798084
Crescent Hill,2015,879805.7678260574,2566687.4904855033,79.96053511097494,233.2716068786243
Crescent Hill,2016,1253300.3911269708,2008711.4380373454,117.28433381311723,187.97599083261701
Crescent Hill,2017,1411633.8556315212,3878483.941879744,132.10124046710848,362.95002263519973
Crescent Hill,2018,1521250.7954332773,3417941.044357103,142.35923595669823,319.8522407221695
Deer Park,2012,958951.7190342419,1306195.4468908114,327.28727612090165,445.80049381938954
Deer Park,2013,1020634.6700983531,2527690.4420750057,342.7248724306088,848.7879254785109
Deer Park,2014,626052.4679192937,1280371.5188382878,206.95949352703923,423.26331201265714
Deer Park,2015,1387765.7964918846,1597398.0920344654,475.4250758793712,547.2415525983095
Deer Park,2016,1746713.1023402852,2144448.6066187206,600.0388534319084,736.6707683334664
Deer Park,2017,2794042.360807682,3748180.274377873,959.8221782231817,1287.5919870758753
Deer Park,2018,2928000,3748000,1005.8399175541051,1287.5300583991755
Eastwood-Long Run,2012,4452819.794765946,6041171.965974524,377.9982847848851,512.8329342932533
Eastwood-Long Run,2013,2196605.45390737,6771167.681054295,178.57129126960166,550.4566849080802
Eastwood-Long Run,2014,2309429.024800779,7811647.667063184,176.91351499929362,598.410270190224
Eastwood-Long Run,2015,2331613.898231309,8339863.171077803,165.7388326863313,592.8250761357551
Eastwood-Long Run,2016,3011823.1811237303,6933327.853151147,207.88398544476328,478.5565884284337
Eastwood-Long Run,2017,2889895.5283111306,5266565.345108279,199.4682170286534,363.5122408274627
Eastwood-Long Run,2018,3447874.6548868027,6179481.778023192,237.9814090893707,426.5241426023738
Edgewood,2012,1659889.5226332617,6603006.119179724,643.1187611907252,2558.3131031304624
Edgewood,2013,708390.5566655583,5922017.607147156,271.51803628423085,2269.84193451405
Edgewood,2014,1143226.2457656667,6845747.638334884,455.10598955639597,2725.2180088912755
Edgewood,2015,1794452.449844491,4370833.362062809,690.7053309640073,1682.3838960980788
Edgewood,2016,810009.6431780156,4145587.8148290236,306.24183106919304,1567.3299867028445
Edgewood,2017,1331711.205571229,6695292.88869949,503.4824973804269,2531.3016592436634
Edgewood,2018,970000,6179000,366.7296786389414,2336.1058601134214
Fairdale,2012,391311.55150347756,1545409.2146332555,29.221981293665714,115.40655773528904
Fairdale,2013,280916.0148662926,1949681.77579927,21.486615792128852,149.12664645856432
Fairdale,2014,335414.47662474564,1381577.5100825154,25.80508359938034,106.29154562875176
Fairdale,2015,381950.6491036623,2219654.427231641,31.579218611299073,183.5183486756214
Fairdale,2016,183038.98309748762,1164590.883850148,13.887631494498303,88.36046159712807
Fairdale,2017,553606.8708607913,1471247.7104238204,42.003556210985685,111.62729214141278
Fairdale,2018,500415.55386949924,919195.5235204856,37.967796196471866,69.74169374207023
Fern Creek,2012,661950.7049422603,1038917.4630905043,20.520512894235857,32.20650576881717
Fern Creek,2013,490840.5748884667,964527.8583271903,14.777233107191314,29.03804968470587
Fern Creek,2014,337600.350332837,853123.722801631,10.18371543340584,25.734479285741937
Fern Creek,2015,701009.6128820563,1631240.525588508,21.126838036287523,49.16188558477767
Fern Creek,2016,500285.8232825032,1132776.2998812154,15.022244941371744,34.014241956616985
Fern Creek,2017,572182.273328843,934717.882585938,17.18110300359856,28.06707751811963
Fern Creek,2018,694760.2017836231,990059.664294508,20.86179028266592,29.728843176125515
Fisherville,2012,1101241.4595042318,1919936.6104094805,156.18230882204395,272.2928110068757
Fisherville,2013,1243857.22457594,1912067.6500168848,174.25850722554497,267.8716237064843
Fisherville,2014,1785908.05866296,2839521.8408715464,245.01413893030048,389.56260678715137
Fisherville,2015,1202484.088445151,2135937.0796566354,160.50241436801267,285.0957127144468
Fisherville,2016,1098232.9566519952,2819918.6876406698,144.52335263218782,371.09076031591917
Fisherville,2017,1258014.6970699776,2312993.2551356517,165.55003251348566,304.38126794784205
Fisherville,2018,906269.9039347282,2396979.2077904986,119.26173232461221,315.4335054336753
Germantown-Paristown,2012,120700.79230824621,545062.8199258074,29.554552475084773,133.46298235205862
Germantown-Paristown,2013,329076.0488155722,744771.046242537,82.28958460004307,186.23932139098198
Germantown-Paristown,2014,383026.1883088932,960399.4263596556,96.38303681653075,241.6707162455097
Germantown-Paristown,2015,452041.9316970937,1268009.147262689,111.47766503010942,312.70262571213044
Germantown-Paristown,2016,399803.33154950856,1419085.8604046728,97.53679715772348,346.20294227974455
Germantown-Paristown,2017,407410.10381389986,1832468.1481849398,99.39256009121733,447.05248796900213
Germantown-Paristown,2018,692778.7265186631,1230784.8255672115,169.01164345417496,300.2646561520399
Glenview-Harrods Creek-Prospect,2012,4278335.000493919,7640335.5994965965,509.8718866039707,910.5393397088067
Glenview-Harrods Creek-Prospect,2013,3677415.6541473754,5564825.852668054,431.8242900595791,653.4553608111853
Glenview-Harrods Creek-Prospect,2014,3455809.9395603924,6176602.385646995,408.2951251843564,729.7498092683123
Glenview-Harrods Creek-Prospect,2015,3885803.6538928053,7465644.46766079,456.2944638201979,876.6609285651468
Glenview-Harrods Creek-Prospect,2016,4107238.347837249,8257288.103144334,465.7260854787673,936.3066224225347
Glenview-Harrods Creek-Prospect,2017,5604755.881387648,9274473.143387511,635.5319062691516,1051.6468016087438
Glenview-Harrods Creek-Prospect,2018,4648539.743735117,9082112.371017123,527.1050849002287,1029.8347172034382
Hawthorne,2012,240812.98773954055,1449178.1583611637,87.79182928893202,528.3186869708945
Hawthorne,2013,320740.55189355114,2185708.7940295637,117.1013332944692,797.9951785431047
Hawthorne,2014,179021.69233143682,1380874.9250594452,66.7991389296406,515.2518377087482
Hawthorne,2015,614222.6259397616,5291119.139494739,227.74290913598875,1961.8535926936368
Hawthorne,2016,881664.3423822246,2406144.0297993105,321.3062472238428,876.8746464283201
Hawthorne,2017,644936.0014720435,1772553.53569136,235.0349859591995,645.9743205872303
Hawthorne,2018,648000,3046000,236.15160349854227,1110.058309037901
Hayfield Dundee-Gardiner Lane,2012,723514.0211996017,2605940.5458957423,166.36330678307695,599.2045403301316
