FIPS,year,sba_loan_7a,total_loan_7a,total_loan_504,sba_loan_7a_pp,total_loan_7a_pp,total_loan_504_pp
1073,2009,3750952.031788389,4288321.480982073,18640905.801562775,5.704991485428419,6.522300826150021,28.351791219224097
1073,2010,21941931.768923968,25947380.15416214,10941755.57957083,33.32290264756155,39.40592067928108,16.617090045273287
1073,2011,25573063.232891474,34548680.21598572,14139462.29519594,38.832261131833896,52.46158270870899,21.470532767641647
1073,2012,19585925.34163473,26292221.96123151,27436814.62314099,29.728164213800035,39.90720266596975,41.644503202841676
1073,2013,22213093.469664067,29207536.644648895,10862771.965424467,33.70594402901261,44.31924786677445,16.483070418199688
1073,2014,19912643.546903413,26809298.65479014,7387873.711253044,30.21205339875134,40.67586308335984,11.209101119189077
1073,2015,25393033.747232735,34137777.55751847,7483423.195029637,38.50579830047726,51.766259602581606,11.347804559836286
1073,2016,51166474.881305344,69276685.58146656,11409533.06829334,77.54564077891278,104.99267316961274,17.29178245758466
1073,2017,42356480.53737977,57146254.06595066,21061209.75180844,64.15821029370387,86.56057678411402,31.901836676535225
1073,2018,21521379.880096607,28714474.36506617,11599280.268345844,32.58090185193082,43.47042226057324,17.559980544068967
1073,2019,35490765,47255000,9793000,53.69935816351851,71.49925255251802,14.817314151874065
12031,2009,5669028.071451208,6476636.906263814,26289375.677481472,6.588223618997334,7.526780904895778,30.552024718187745
12031,2010,38874310.49460851,44887751.66282555,23580446.27610666,44.86717406765052,51.8076473058161,27.215607793473062
12031,2011,24747061.41297421,33491261.645153068,20211712.214085422,28.36020872495033,38.381089167237455,23.162684551288706
12031,2012,32683381.371672444,43988067.07861103,31772425.75814117,37.10857947393976,49.94387406030205,36.07428414208478
12031,2013,20761391.20969759,28746214.425933767,25550071.221427996,23.309779469791483,32.27471184815725,28.686253228096053
12031,2014,43867942.36302712,61215199.05133713,15203555.379763378,48.69400522042327,67.94969313827119,16.87615067296049
12031,2015,54235080.58240907,70354436.54161547,30552376.014868736,59.46548636677116,77.13938546934243,33.498832856420954
12031,2016,60316647.97314853,84048959.79264422,21343758.710729666,65.3346071399232,91.04129544825174,23.11942286440763
12031,2017,58256526.29247334,78816905.52160145,18521097.091934986,62.349856737122145,84.35488829291994,19.822461512705623
12031,2018,67658598.77830926,91221236.06305493,16535230.083303036,71.55838779643962,96.47915717053473,17.4883078865016
12031,2019,53681075,71993200,18049000,56.113306259832434,75.25513377340839,18.86678060533839
18097,2009,12342268.91321374,15038484.58117767,11286029.903048238,13.751601826391468,16.755691638777815,12.574753517265158
18097,2010,67842332.02700524,87723681.97938932,10455126.100091947,75.00243995755304,96.9820758504528,11.558564455871743
18097,2011,51640604.009032235,75231759.40302658,11823801.881764038,56.60844820676118,82.46908101471602,12.961255765207081
18097,2012,37174687.26380604,53499836.02574715,21941641.74100166,40.43645333567492,58.19399656463703,23.866836217663245
18097,2013,51039034.662316546,70887704.41657065,18295364.088555977,55.097815220537434,76.52491206374654,19.750267547437996
